node1,	node2,	dist,	visibility,	sound,	transitability,	lockable,	flow
1.01,	1.2,	4,	1,		1,	1,		0,		30
1.01,	1.3,	7,	0.8,		0.66,	0,		0,		0
1.01,	1.4,	9,	0.6,		0.33,	0,		0,		0
1.01,	1.5,	14,	0.5,		0,	0,		0,		0
1.01,	1.6,	18,	0.4,		0,	0,		0,		0
1.01,	2.1,	4,	1,		1,	1,		0,		2.5
1.01,	3.01,	4,	1,		1,	1,		0,		15
1.01,	4.1,	6,	0,		0.66,	0,		0,		0
1.01,	4.2,	8,	0,		0.66,	0,		0,		0
1.01,	4.3,	8,	0,		0.66,	0,		0,		0
1.01,	5.1,	8,	0,		0.66,	0,		0,		0
1.01,	5.2,	8,	0,		0.66,	0,		0,		0
1.01,	6.1,	9,	0,		0.33,	0,		0,		0
1.01,	6.2,	10,	0,		0.33,	0,		0,		0
1.01,	7.1,	9,	0,		0.33,	0,		0,		0
1.01,	7.2,	10,	0,		0.33,	0,		0,		0

1.2,	1.01,	4,	1,		1,	1,		0,		20
1.2,	1.3,	4,	1,		1,	1,		0,		20
1.2,	1.4,	7,	0.8,		0.66,	0,		0,		0
1.2,	1.5,	11,	0.6,		0.33,	0,		0,		0
1.2,	1.6,	15,	0.5,		0,	0,		0,		0
1.2,	2.1,	4,	1,		1,	1,		0,		2.5
1.2,	3.01,	4,	1,		1,	1,		0,		20
1.2,	4.1,	4,	1,		1,	1,		0,		2.5
1.2,	4.2,	7,	0.6,		0.66,	0,		0,		0
1.2,	4.3,	9,	0.6,		0.66,	0,		0,		0
1.2,	5.1,	4,	0,		0.66,	0,		0,		0
1.2,	5.2,	4,	0,		0.66,	0,		0,		0
1.2,	6.1,	11,	0,		0.66,	0,		0,		0
1.2,	6.2,	15,	0,		0.33,	0,		0,		0
1.2,	7.1,	11,	0,		0.66,	0,		0,		0
1.2,	7.2,	15,	0,		0.33,	0,		0,		0
1.2,	8.1,	17,	0,		0.33,	0,		0,		0
1.2,	9.1,	17,	0,		0.33,	0,		0,		0

1.3,	1.01,	7,	0.8,		0.66,	0,		0,		0
1.3,	1.2,	4,	1,		1,	1,		0,		20
1.3,	1.4,	3,	1,		1,	1,		0,		20
1.3,	1.5,	10,	0.8,		0.66,	0,		0,		0
1.3,	1.6,	15,	0.6,		0.33,	0,		0,		0
1.3,	2.1,	9,	0,		0.66,	0,		0,		0
1.3,	3.01,	9,	0,		0.66,	0,		0,		0
1.3,	4.1,	4,	0,		1,	0,		0,		0
1.3,	4.2,	3,	0,		1,	0,		0,		0
1.3,	4.3,	9,	0,		0.66,	0,		0,		0
1.3,	5.1,	4,	1,		1,	1,		0,		2.5
1.3,	5.2,	9,	0,		0.66,	0,		0,		0
1.3,	6.1,	6,	0,		0.66,	0,		0,		0
1.3,	6.2,	9,	0,		0.66,	0,		0,		0
1.3,	7.1,	6,	0,		0.66,	0,		0,		0
1.3,	7.2,	9,	0,		0.66,	0,		0,		0
1.3,	8.1,	10,	0,		0.66,	0,		0,		0
1.3,	8.2,	11,	0,		0.33,	0,		0,		0
1.3,	9.1,	10,	0,		0.66,	0,		0,		0
1.3,	9.2,	11,	0,		0.33,	0,		0,		0
1.3,	10.1,	15,	0,		0.33,	0,		0,		0
1.3,	11.1,	15,	0,		0.33,	0,		0,		0
1.3,	12.1,	13,	0,		0.33,	0,		0,		0
1.3,	13.1,	13,	0,		0.33,	0,		0,		0
1.3,	14.1,	15,	0,		0.33,	0,		0,		0
1.3,	25.1,	15,	0,		0.33,	0,		0,		0

1.4,	1.01,	10,	0.6,		0.33,	0,		0,		0
1.4,	1.2,	7,	0.8,		0.66,	0,		0,		0
1.4,	1.3,	3,	1,		1,	1,		0,		20
1.4,	1.5,	6,	0.9,		0.9,	1,		0,		20
1.4,	1.6,	9,	0.6,		0.33,	0,		0,		0
1.4,	2.1,	10,	0,		0.66,	0,		0,		0
1.4,	3.01,	10,	0,		0.66,	0,		0,		0
1.4,	4.1,	7,	0,		0.66,	0,		0,		0
1.4,	4.2,	4,	1,		1,	1,		0,		2.5
1.4,	4.3,	9,	0.8,		0.66,	0,		0,		0
1.4,	5.1,	5,	0,		0.66,	0,		0,		0
1.4,	5.2,	9,	0,		0.66,	0,		0,		0
1.4,	6.1,	4,	1,		1,	1,		0,		2.5		
1.4,	6.2,	7,	0.8,		0.66,	0,		0,		0		
1.4,	7.1,	4,	1,		1,	1,		0,		2.5
1.4,	7.2,	7,	0.8,		0.66,	0,		0,		0
1.4,	8.1,	7,	0,		0.66,	0,		0,		0		
1.4,	8.2,	9,	0,		0.66,	0,		0,		0
1.4,	9.1,	7,	0,		0.66,	0,		0,		0		
1.4,	9.2,	9,	0,		0.66,	0,		0,		0		
1.4,	10.1,	12,	0,		0.33,	0,		0,		0		
