node1, node2, dist, visibility, sound, transitability, lockable, flow
1.1,2.1,5.0,0.99,0.66,1,0,30
1.1,3.1,10.0,0.66,0.33,0,0,30
1.1,4.1,15.0,0.33,0.33,0,0,30
1.1,5.1,20.0,0.33,0,0,0,30
1.1,25.1,5.0,0.99,0.66,1,0,30
1.1,26.1,7.0710678118654755,0.66,0.66,1,0,30
1.1,27.1,11.180339887498949,0.66,0.33,0,0,30
1.1,28.1,15.811388300841896,0.33,0,0,0,30
1.1,49.1,10.0,0.66,0.33,0,0,30
1.1,50.1,11.180339887498949,0.66,0.33,0,0,30
1.1,51.1,14.142135623730951,0.33,0.33,0,0,30
1.1,52.1,18.027756377319946,0.33,0,0,0,30
1.1,73.1,15.0,0.33,0.33,0,0,30
1.1,74.1,15.811388300841896,0.33,0,0,0,30
1.1,75.1,18.027756377319946,0.33,0,0,0,30
1.1,97.1,20.0,0.33,0,0,0,30
1.1,385.01,2.0,0.99,0.99,1,0,30
2.1,1.1,5.0,0.99,0.66,1,0,30
2.1,3.1,5.0,0.99,0.66,1,0,30
2.1,4.1,10.0,0.66,0.33,0,0,30
2.1,5.1,15.0,0.33,0.33,0,0,30
2.1,6.1,20.0,0.33,0,0,0,30
2.1,25.1,7.0710678118654755,0.66,0.66,1,0,30
2.1,26.1,5.0,0.99,0.66,1,0,30
2.1,27.1,7.0710678118654755,0.66,0.66,1,0,30
2.1,28.1,11.180339887498949,0.66,0.33,0,0,30
2.1,29.1,15.811388300841896,0.33,0,0,0,30
2.1,49.1,11.180339887498949,0.66,0.33,0,0,30
2.1,50.1,10.0,0.66,0.33,0,0,30
2.1,51.1,11.180339887498949,0.66,0.33,0,0,30
2.1,52.1,14.142135623730951,0.33,0.33,0,0,30
2.1,53.1,18.027756377319946,0.33,0,0,0,30
2.1,73.1,15.811388300841896,0.33,0,0,0,30
2.1,74.1,15.0,0.33,0.33,0,0,30
2.1,75.1,15.811388300841896,0.33,0,0,0,30
2.1,76.1,18.027756377319946,0.33,0,0,0,30
2.1,98.1,20.0,0.33,0,0,0,30
2.1,385.01,7.0,0.66,0.66,1,0,30
3.1,1.1,10.0,0.66,0.33,0,0,30
3.1,2.1,5.0,0.99,0.66,1,0,30
3.1,4.1,5.0,0.99,0.66,1,0,30
3.1,5.1,10.0,0.66,0.33,0,0,30
3.1,6.1,15.0,0.33,0.33,0,0,30
3.1,7.1,20.0,0.33,0,0,0,30
3.1,25.1,11.180339887498949,0.66,0.33,0,0,30
3.1,26.1,7.0710678118654755,0.66,0.66,1,0,30
3.1,27.1,5.0,0.99,0.66,1,0,30
3.1,28.1,7.0710678118654755,0.66,0.66,1,0,30
3.1,29.1,11.180339887498949,0.66,0.33,0,0,30
3.1,30.1,15.811388300841896,0.33,0,0,0,30
3.1,49.1,14.142135623730951,0.33,0.33,0,0,30
3.1,50.1,11.180339887498949,0.66,0.33,0,0,30
3.1,51.1,10.0,0.66,0.33,0,0,30
3.1,52.1,11.180339887498949,0.66,0.33,0,0,30
3.1,53.1,14.142135623730951,0.33,0.33,0,0,30
3.1,54.1,18.027756377319946,0.33,0,0,0,30
3.1,73.1,18.027756377319946,0.33,0,0,0,30
3.1,74.1,15.811388300841896,0.33,0,0,0,30
3.1,75.1,15.0,0.33,0.33,0,0,30
3.1,76.1,15.811388300841896,0.33,0,0,0,30
3.1,77.1,18.027756377319946,0.33,0,0,0,30
3.1,99.1,20.0,0.33,0,0,0,30
3.1,385.01,12.0,0.66,0.33,0,0,30
4.1,1.1,15.0,0.33,0.33,0,0,30
4.1,2.1,10.0,0.66,0.33,0,0,30
