BehaviorSpace results (NetLogo 6.1.1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evacuation_scenario.nlogo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"app-T-F,attacker-speed-0.6-1.5,shooting-T,peace-350,mods-1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/23/2020 06:59:54:763 +0100,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,43,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[run number],app-info?,shooting?,num-peacefuls,visibility-mod,sound-mod,num-violents,shoot-noise,attack-prob,attackers-efectivity,attackers-speed,initial-positions,leaders-percentage,app-percentage,defense-prob,not-alerted-speed,mean-speed,max-speed-deviation,max-iter,app-mode,first-blood,crowd-running,what-is-a-crowd?,[step],not-app-killed,app-killed,app-killed + not-app-killed,not-app-accident,app-accident,not-app-accident + app-accident,not-app-in-secure-room,app-in-secure-room,not-app-in-secure-room + app-in-secure-room,not-app-rescued,app-rescued,not-app-rescued + app-rescued,rooms
5,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,279,6,3,9,0,0,0,60,36,96,122,123,245,true
3,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,342,16,7,23,2,4,6,75,55,130,82,109,191,true
9,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,251,15,5,20,6,2,8,59,49,108,97,117,214,true
6,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,230,6,5,11,1,0,1,67,31,98,109,131,240,true
12,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,267,8,3,11,2,5,7,72,45,117,99,116,215,true
11,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,322,18,10,28,4,3,7,59,71,130,97,88,185,true
10,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,266,13,3,16,1,1,2,71,57,128,105,99,204,true
7,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,348,20,11,31,1,2,3,59,60,119,94,103,197,true
4,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,284,14,3,17,1,0,1,73,56,129,82,121,203,true
1,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,351,6,4,10,4,3,7,59,49,108,99,126,225,true
8,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,347,9,10,19,3,3,6,62,46,108,95,122,217,true
2,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,444,14,3,17,2,2,4,67,59,126,75,128,203,true
16,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,362,6,4,10,1,3,4,67,65,132,98,106,204,true
13,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,453,5,3,8,3,4,7,53,67,120,105,110,215,true
18,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,397,8,4,12,2,0,2,69,64,133,107,96,203,true
15,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,278,14,3,17,1,4,5,60,55,115,80,133,213,true
21,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,271,7,11,18,1,0,1,80,56,136,98,97,195,true
19,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,277,10,1,11,0,4,4,79,51,130,98,107,205,true
17,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,278,10,4,14,2,1,3,73,54,127,107,99,206,true
22,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,291,16,2,18,0,0,0,55,63,118,103,111,214,true
20,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,335,7,4,11,3,1,4,56,46,102,110,123,233,true
23,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,258,3,11,14,0,0,0,64,67,131,99,106,205,true
14,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,434,19,6,25,5,2,7,61,56,117,95,106,201,true
27,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,137,0,1,1,3,3,6,50,20,70,131,142,273,true
24,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,271,6,4,10,0,2,2,66,40,106,102,130,232,true
34,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,272,4,2,6,1,0,1,71,31,102,106,135,241,true
25,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,399,3,3,6,1,0,1,46,63,109,113,121,234,true
30,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,325,7,10,17,0,3,3,58,72,130,100,100,200,true
26,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,377,11,7,18,4,3,7,60,52,112,82,131,213,true
31,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,366,8,4,12,1,0,1,75,47,122,97,118,215,true
37,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,324,4,1,5,2,2,4,74,36,110,101,130,231,true
33,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,351,14,9,23,3,1,4,73,38,111,100,112,212,true
28,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,396,14,4,18,4,2,6,78,56,134,83,109,192,true
35,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,303,14,3,17,4,0,4,60,71,131,89,109,198,true
32,true,true,350,1,1,2,0.5,0.5,0.5,0.6,[0 73],0.2,50,0.1,0.5,2,0.15,500,2,true,true,20,379,15,4,19,2,1,3,61,61,122,88,118,206,true
