id,	xcor,	ycor,	size,	capacity,	hidden-places,	info,	lock?, reacheables, exits_routes, rooms_routes
1.01,1.0,7.0,1.0,15.0,0.0,0.0,0.0,[ 1.2  2.1  3.01 ],[ [ 1.01 ]  [ 1.01  3.01 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
1.2,5.0,7.0,2.0,20.0,0.0,0.0,0.0,[ 1.01  1.3  2.1  3.01  4.1 ],[ [ 1.2  1.01 ]  [ 1.2  3.01 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
1.3,8.0,7.0,2.0,20.0,0.0,0.0,0.0,[ 1.4  1.2  5.1 ],[ [ 1.3  1.2  1.01 ]  [ 1.3  1.2  3.01 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
1.4,11.0,7.0,2.0,20.0,0.0,0.0,0.0,[ 1.3  4.2  6.1  7.1  1.5 ],[ [ 1.4  1.3  1.2  1.01 ]  [ 1.4  1.3  1.2  3.01 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
1.5,15.0,7.0,2.0,20.0,0.0,0.0,0.0,[ 8.1  9.1  1.4  1.6 ],[ [ 1.5  1.4  1.3  1.2  1.01 ]  [ 1.5  1.4  1.3  1.2  3.01 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
1.6,19.0,7.0,3.0,30.0,0.0,1.0,0.0,[ 10.1  11.1  1.5 ],[ [ 1.6  1.5  1.4  1.3  1.2  1.01 ]  [ 1.6  1.5  1.4  1.3  1.2  3.01 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
2.1,2.0,5.0,3.0,15.0,0.0,0.0,0.0,[ 1.01  1.2  3.01 ],[ [ 2.1  1.01 ]  [ 2.1  3.01 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 2.1  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
3.01,2.0,10.0,3.0,15.0,0.0,0.0,0.0,[ 1.01  1.2  2.1 ],[ [ 3.01  1.01 ]  [ 3.01 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 3.01  1.2  1.3  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
4.1,5.0,5.0,1.0,10.0,0.0,0.0,0.0,[ 1.2  4.2  4.3 ],[ [ 4.1  1.2  1.01 ]  [ 4.1  1.2  3.01 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 4.1  4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 4.1  4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
4.2,8.0,5.0,1.0,10.0,0.0,0.0,0.0,[ 1.4  4.1  4.3 ],[ [ 4.2  4.1  1.2  1.01 ]  [ 4.2  4.1  1.2  3.01 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  49.01 ] ],[ [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  21.1 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  22.1 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  23.1 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  10.6  24.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  31.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  32.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  33.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  34.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  35.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  36.1 ]  [ 4.2  1.4  1.5  1.6  11.1  11.2  11.3  11.4  11.5  11.6  11.7  37.1 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  47.1 ]  [ 4.2  1.4  1.5  1.6  10.1  10.2  10.3  10.4  10.5  46.1  48.1 ] ]
